name,key,Course_Type,Price,Enrolled,Language,Description
Aptitude,aptitudeTam,Premium,999,5857,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
name,key,Course_Type,Price,Enrolled,Language,Description
C Programming for Beginners,cprogrammingenglish,Premium,1500,2021,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C Plus Plus Programming,cppEng,Premium,999,4324,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C advanced,c2_eng,Free,0,2003,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C Programming,cHindi,Premium,999,3946,Hindi,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C Programming,cEng,Premium,999,7964,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C Programming,c,Premium,999,84222,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C Plus Plus,cpp_tamil,Free,0,2007,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C Plus Plus,cpp_telugu,Free,0,2002,Telugu,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
